,html_url,number,labels,state,created_at,pull_request,title,body
0,https://github.com/RaRe-Technologies/gensim/issues/1564,1564,[],closed,2017-09-04 18:49:00+00:00,,Cannot get weights from get_embedding_layer ,"So basically i am training a doc2vec model. I came across something called get_embedding_layer in KeyedVectors class which returns a embedding layer. But I am unable to retrieve the weights for this layer. 
The following is my code:
```
text_corpora = [[""hi how are you""],[""I am all good""],[""We are all good""]]
sentences = [TaggedDocument(words= text_corpora[0][0].split(),tags = ['1']),TaggedDocument(words= text_corpora[1][0].split(),tags = ['2']),TaggedDocument(words= text_corpora[2][0].split(),tags = ['3'])]
model = Doc2Vec(size = 200, window = 300, min_count = 1, workers = 4)
model.build_vocab(sentences)

model.train(sentences,total_examples=model.corpus_count,epochs=model.iter)
```
`model.wv.get_embedding_layer().get_weights()`  should give me the embeddings but its returning an empty array.
` Is model.wv.syn0` a way to retrieve the weights and initialize in the embedding layer in keras ?


Also please say whether this is the correct way to train the model."
1,https://github.com/RaRe-Technologies/gensim/issues/1566,1566,[],closed,2017-09-05 06:24:27+00:00,,LDA multicore using high amount of system cpu. upto 30 million kernel context per second,"48 core, 256 GB machine. no iops recorded.
also checked with strace a very large number of sched_yield() = 0"
2,https://github.com/RaRe-Technologies/gensim/issues/1575,1575,"[{'id': 175641, 'node_id': 'MDU6TGFiZWwxNzU2NDE=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/bug', 'name': 'bug', 'color': 'e10c02', 'default': True, 'description': 'Issue described a bug'}, {'id': 233081, 'node_id': 'MDU6TGFiZWwyMzMwODE=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20easy', 'name': 'difficulty easy', 'color': '00ff00', 'default': False, 'description': 'Easy issue: required small fix'}]",closed,2017-09-07 23:15:52+00:00,,Add preprocessing in summarize function to remove newlines in the middle of sentences,"#### Description
The `summarize` function depends on the text having at least 10 sentences as measured by `clean_text_by_sentences`.  If the text is shorter than that then the summarization fails in an undocumented way. Moreover  `clean_text_by_sentences` cannot handle properly a text with new lines
at the middle of a sentence. I suggest a preprocessing step to purge those.

I'm currently using this to workaround this bug
```
import re
text = re.sub(r'\n|\r|\t', ' ', text)
text = re.sub(r'\s+', ' ', text)
```

#### Versions
- Python 3.6.2 (default, Jul 17 2017, 16:44:45)
[GCC 4.2.1 Compatible Apple LLVM 8.1.0 (clang-802.0.42)]
- NumPy 1.13.0
- SciPy 0.19.1
- gensim 2.3.0
- FAST_VERSION 0"
3,https://github.com/RaRe-Technologies/gensim/issues/1576,1576,"[{'id': 175641, 'node_id': 'MDU6TGFiZWwxNzU2NDE=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/bug', 'name': 'bug', 'color': 'e10c02', 'default': True, 'description': 'Issue described a bug'}, {'id': 233081, 'node_id': 'MDU6TGFiZWwyMzMwODE=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20easy', 'name': 'difficulty easy', 'color': '00ff00', 'default': False, 'description': 'Easy issue: required small fix'}, {'id': 708430967, 'node_id': 'MDU6TGFiZWw3MDg0MzA5Njc=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/performance', 'name': 'performance', 'color': 'd93f0b', 'default': False, 'description': 'Issue related to performance (in HW meaning)'}, {'id': 721000065, 'node_id': 'MDU6TGFiZWw3MjEwMDAwNjU=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/good%20first%20issue', 'name': 'good first issue', 'color': '7057ff', 'default': True, 'description': 'Issue for new contributors (not required gensim understanding + very simple)'}, {'id': 1072221028, 'node_id': 'MDU6TGFiZWwxMDcyMjIxMDI4', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/Hacktoberfest', 'name': 'Hacktoberfest', 'color': 'b396e0', 'default': False, 'description': 'Issues marked for hacktoberfest'}]",open,2017-09-08 13:33:00+00:00,,Check what's the reason to use double-precision in topic models,"Our TMs return vectors with double-precision `float64`, it looks like very suspicious, because `float32` is enough for all. Need to check, what's a reason of this behavior and what's a concrete method.

The first step - look at [this line in the test](https://github.com/RaRe-Technologies/gensim/blob/develop/gensim/test/basetmtests.py#L51), after it - collect all TMs, that depends on this tests and check, where and why `float64` happened.

Result - detailed description (where and why), and fixing this behavior after discussion (if needed)"
4,https://github.com/RaRe-Technologies/gensim/issues/1578,1578,[],closed,2017-09-08 16:53:14+00:00,,Doc2Vec Segmentation Fault Windows and Linux,"I've tried this basic code on both Linux and Windows.  I'm trying to do some online training and it seems like after a couple passes it throws a seg fault.

Code to recreate problem.
````
from gensim.models.doc2vec import Doc2Vec, LabeledSentence, TaggedDocument


sentences = [('food', 'I like to eat broccoli and bananas.'),
             ('food', 'I ate a banana and spinach smoothie for breakfast.'),
             ('animals', 'Chinchillas and kittens are cute.'),
             ('animals', 'My sister adopted a kitten yesterday.'),
             ('animals', 'Look at this cute hamster munching on a piece of broccoli.')]

convSentences = []
for s in sentences:
    convSentences.append(LabeledSentence(tags=[s[0]], words = s[1].split()))

model = Doc2Vec(size=300, window=8, min_count=1, workers=1)

print(""Pass 1:"")
model.build_vocab([convSentences[0]])
model.train([convSentences[0]], total_examples=model.corpus_count)

print(""Pass 2:"")
model.build_vocab([convSentences[1]], update=True)
model.train([convSentences[1]], total_examples=model.corpus_count)

print(""Pass 3:"")
model.build_vocab([convSentences[2]], update=True)
model.train([convSentences[2]], total_examples=model.corpus_count)

print(""Pass 4:"")
model.build_vocab([convSentences[3]], update=True)
model.train([convSentences[3]], total_examples=model.corpus_count)

print(""Pass 5:"")
model.build_vocab([convSentences[4]], update=True)
model.train([convSentences[4]], total_examples=model.corpus_count)
````

Here's the output running in Windows Idle.  Python 3.5.2

```
Warning (from warnings module):
  File ""C:\Python35\lib\site-packages\gensim\utils.py"", line 855
    warnings.warn(""detected Windows; aliasing chunkize to chunkize_serial"")
UserWarning: detected Windows; aliasing chunkize to chunkize_serial
Pass 1:
Pass 2:
Pass 3:
```

Passes 1-3 go quick, then a long pause and Linux throws a segmentation fault, Windows throws an unspecified error."
5,https://github.com/RaRe-Technologies/gensim/issues/1581,1581,"[{'id': 175643, 'node_id': 'MDU6TGFiZWwxNzU2NDM=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/documentation', 'name': 'documentation', 'color': '02d7e1', 'default': True, 'description': 'Current issue related to documentation'}, {'id': 234670, 'node_id': 'MDU6TGFiZWwyMzQ2NzA=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20medium', 'name': 'difficulty medium', 'color': '00d000', 'default': False, 'description': 'Medium issue: required good gensim understanding & python skills'}, {'id': 575779925, 'node_id': 'MDU6TGFiZWw1NzU3Nzk5MjU=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/breaks%20backward-compatibility', 'name': 'breaks backward-compatibility', 'color': 'e96f1b', 'default': False, 'description': 'Change breaks backward compatibility'}, {'id': 1162250977, 'node_id': 'MDU6TGFiZWwxMTYyMjUwOTc3', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/fasttext', 'name': 'fasttext', 'color': 'ad52ea', 'default': False, 'description': 'Issues related to the FastText model'}]",open,2017-09-10 11:15:14+00:00,,Add __init__ method in FastText,"Issue #1514 

[FastText](https://github.com/RaRe-Technologies/gensim/blob/develop/gensim/models/wrappers/fasttext.py#L138)  can't make default initializer. only make using `train` or `load_fasttext_format` methods( `train` method calls `load_fasttext_format` )
And input text is only received from the file.

So, If in `__init__` method receiving from python string, will be able to use it more efficiently and not be confused with the FastText constructor( In [Fasttext API](https://radimrehurek.com/gensim/models/wrappers/fasttext.html), It looks like it can be used as a constructor. because base by Word2Vec).

`def __init__(self, ft_path, corpus_text, output_file=None, model='cbow', size=100, alpha=0.025, window=5, min_count=5,
              word_ngrams=1, loss='ns', sample=1e-3, negative=5, iter=5, min_n=3, max_n=6, sorted_vocab=1, threads=12):`
How about like above method? These method arguments follow `train` but `corpus_file` changed to `corpus_text`"
6,https://github.com/RaRe-Technologies/gensim/issues/1583,1583,"[{'id': 234670, 'node_id': 'MDU6TGFiZWwyMzQ2NzA=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20medium', 'name': 'difficulty medium', 'color': '00d000', 'default': False, 'description': 'Medium issue: required good gensim understanding & python skills'}, {'id': 575779925, 'node_id': 'MDU6TGFiZWw1NzU3Nzk5MjU=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/breaks%20backward-compatibility', 'name': 'breaks backward-compatibility', 'color': 'e96f1b', 'default': False, 'description': 'Change breaks backward compatibility'}]",open,2017-09-11 13:40:36+00:00,,Move unstable/experimental models to distinct subpackage,"Now we have many models/corpses in `gensim.models.*`, but not all of this is very useful/popular/stable/fast.


For this reason, we should split this into distinct packages

How it looks now: `gensim.corpora.*` and `gensim.models.*`
How it should looks in future: distinct subpackage + copy part of tree structure: `gensim.experimental.corpora.*` and  `gensim.experimental.models.*`


What's candidates for moving to experimental: `ATModel`, `HDP`, `LdaSeq`, all wrappers (maybe, need to discussed it).
Also, maybe move `ucicorpus`, `sharedcorpus`, `indexcorpus` and `csvcorpus` too (or remove, need additional discussion)










"
7,https://github.com/RaRe-Technologies/gensim/issues/1584,1584,"[{'id': 234670, 'node_id': 'MDU6TGFiZWwyMzQ2NzA=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20medium', 'name': 'difficulty medium', 'color': '00d000', 'default': False, 'description': 'Medium issue: required good gensim understanding & python skills'}, {'id': 575779925, 'node_id': 'MDU6TGFiZWw1NzU3Nzk5MjU=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/breaks%20backward-compatibility', 'name': 'breaks backward-compatibility', 'color': 'e96f1b', 'default': False, 'description': 'Change breaks backward compatibility'}]",open,2017-09-11 14:38:53+00:00,,Remove/refactor useless subpackages,"In gensim, we have many sub-packages, but several of this should be a part of another subpackage, another part is broken/useless and should be removed.

Candidates:
- [x] `/examples` - Old broken code + confused users with name, should be removed.
- [x] ~`/parsing` - Not relevant for gensim (all of this already implemented in NLTK/etc.), should be removed (but before, need to check that this isn't used).~
- [x]  `/scripts` - Many scripts for Wikipedia + symlinks + some conversions + w2v_standalone. Need to look into all wiki scripts and understand why this needed, remove all that no needed (w2v_standalone too).
- [ ] ~`/summarization` - need to refactor code and create one model, no need distinct subpackage for this.~
- [x] ~`/topic_coherence` - same as `summarization`~
- [x] `nose.py` - unused runner for nose, should be removed.






"
8,https://github.com/RaRe-Technologies/gensim/issues/1585,1585,"[{'id': 175643, 'node_id': 'MDU6TGFiZWwxNzU2NDM=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/documentation', 'name': 'documentation', 'color': '02d7e1', 'default': True, 'description': 'Current issue related to documentation'}, {'id': 234670, 'node_id': 'MDU6TGFiZWwyMzQ2NzA=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20medium', 'name': 'difficulty medium', 'color': '00d000', 'default': False, 'description': 'Medium issue: required good gensim understanding & python skills'}]",open,2017-09-11 14:48:38+00:00,,Initial investigation/refactoring for gensim.corpora and gensim.similarities,"Tasks:

1.Go into gensim.similarities and understand what's needed/not needed, maybe refactor a little if needed.
2. In corpora, we have many corpuses and many problems with interfaces, need to go into and refactor this code.

About corpora - we have many classes (each for concrete format), maybe it will be a good idea to merge all to one wrapper `Corpus` class, with parameter, for example:

Now
```
corpus_mallet = MalletCorpus(""/path/to/filename"", metadata=True)
corpus_simple = TextCorpus(input=""/path/to/folder"", metadata=False)
```

In my proposal
```
corpus_mallet = Corpus(""/path/to/filename"", metadata=True, type=""mallet"")
corpus_simple = Corpus(""/path/to/filename"", metadata=True, type=""text"")
```

For the one hand, this simplifies the code, no need to find a concrete class, need to change only one parameter. For the other hand, this class has a lot of responsibility, it's not a good pattern."
9,https://github.com/RaRe-Technologies/gensim/issues/1586,1586,[],closed,2017-09-12 03:13:19+00:00,,Building Vector for a sentence in doc2vec from an untrained data set,"I do have a dataset (corpus size = 6 million).

Environment And Package Version:
`Linux-3.10.0-327.18.2.el7.x86_64-x86_64-with-redhat-7.2-Maipo`
`Python 3.6.0 |Anaconda 4.3.1 (64-bit)| (default, Dec 23 2016, 12:22:00) `
`[GCC 4.4.7 20120313 (Red Hat 4.4.7-1)]`
`NumPy 1.13.1`
`SciPy 0.19.1`
`gensim 2.3.0`
`FAST_VERSION 1`

I have trained the Doc2Vec model using below steps and parameters:
Step 1: Preprocessing:
Change to lower case

Step 2: Preparing the Tagged Document.

`docs = []`
`docs = [TaggedDocument(words = desc.split(),tags=[df['UNQ_ID'].ix[idx]]) for idx,desc in` `enumerate(df['DOCUMENT'].values)]`


Step 3: Model Training.

`iteration = 150`
`model = gensim.models.Doc2Vec(size=300, window=8, min_count=5, workers=8,   iter=iteration)`
`model.build_vocab(docs)`
`model.train(docs, total_examples=model.corpus_count, epochs=model.iter)`


Step 4: Save the Model.

`model.save(SAVE_NAME)`


Step 5: Find Similarity:

`UNIQUE_ID='XXX'`
`sims = mod.docvecs.most_similar(UNIQUE_ID, topn=5)`


For existing trained documents, the similarity score is above 0.8 on the average. This is good as per my use case.

There are cases. when new untrained documents are encountered.
Those scenarios, give below error:
TypeError: '<' not supported between instances of 'str' and 'int'

I tried using infec_vector() using below steps and parameters.


`UNIQUE_ID='XXX'`
`try:`
`            sims = mod.docvecs.most_similar(UNIQUE_ID, topn=5)`
`            print(""EXECUTING REGULAR mod.docvecs.most_similar"")`
`except:`
`            token = df.loc[df['UNQ_ID']==UNIQUE_ID].DOCUMENT`
`            token = token.str.split()`
`            mod.random.seed(0)`
`            new_vector = mod.infer_vector(token, steps=150)`
`            sims = mod.docvecs.most_similar([new_vector], topn=5) `
`            print(""EXECUTING infer_vector mod.docvecs.most_similar"")`
`sims`


But the similarity score is very less; for the inferred vectors.

Please let know, is there any way through which we can better logical similarity score for untrained documents.

Or other way around, how can we do real time training for Untrained documents.

Googling Around: I got below link: 
[https://stackoverflow.com/questions/32796485/building-vector-for-a-sentence-in-doc2vec-from-an-untrained-data-set?rq=1]
But in latest Gensim version (Gensim 2.3.0), we need to build_vocab before train. In real time, build_vocab for entire data set, will take more time.

`Note:`
Fixed the non-deterministic behaviour of infer_vector() using this link:
https://github.com/RaRe-Technologies/gensim/issues/447"
