,html_url,number,labels,state,created_at,pull_request,comments,title,body
0,https://github.com/nltk/nltk/issues/1246,1246,[],closed,2016-01-04 19:27:09+00:00,,5,"Add ""ll"" to nltk.corpus.stopwords.word(""english"")","I think that ""ll"" should be added to this corpus, as ""s"" and ""t"" are already there, and when sentences with contractions such as ""they'll"" or ""you'll"" are tokenized, ""ll"" will be added as a token, and if we filter out stopwords, ""ll"" should be removed as well.
"
1,https://github.com/nltk/nltk/issues/1248,1248,"[{'id': 29356672, 'node_id': 'MDU6TGFiZWwyOTM1NjY3Mg==', 'url': 'https://api.github.com/repos/nltk/nltk/labels/corpus', 'name': 'corpus', 'color': '0b02e1', 'default': False, 'description': None}, {'id': 416522805, 'node_id': 'MDU6TGFiZWw0MTY1MjI4MDU=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/nice%20idea', 'name': 'nice idea', 'color': 'fef2c0', 'default': False, 'description': None}, {'id': 718743421, 'node_id': 'MDU6TGFiZWw3MTg3NDM0MjE=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/parsing', 'name': 'parsing', 'color': '94e06d', 'default': False, 'description': None}]",open,2016-01-08 19:25:24+00:00,,8,Turkish language extension,"Hello all,
I'm a Turkish NLP developer and I'd like to add Turkish language libraries including a morphological analyzer and a parser. Would anyone be interested?
"
2,https://github.com/nltk/nltk/issues/1250,1250,[],closed,2016-01-13 10:30:10+00:00,,4,Tokenization error,"There is an error of processing dots in the tokenizer:
The following code

```
    val ptbt = new PTBTokenizer(
      new StringReader(""Tokenization is performed.Parameters can be specified.""),
      new CoreLabelTokenFactory(), """")
    while (ptbt.hasNext()) {
      val label = ptbt.next()
      val w = label.originalText()
      println(w)
    }
```

gives ""performed.Parameters"" as an word. If I put a space after 'performed' it will work, but still, natural text can be messy and omitting spaces after punctuation is very common.
"
3,https://github.com/nltk/nltk/issues/1251,1251,"[{'id': 918210764, 'node_id': 'MDU6TGFiZWw5MTgyMTA3NjQ=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/inactive', 'name': 'inactive', 'color': 'cecece', 'default': False, 'description': ''}]",closed,2016-01-13 17:16:18+00:00,,1,corpus.reader.knbc misreads annotation for 33 words,"When using the corpus reader for the KNB Corpus, tags are misread / displayed wrongly for 33 words.

`nltk.corpus.reader.knbc.tagged_words()` returns a list of touples in the following form:

```
tagged_word = (word(str), tags(str))
tags = ""reading lemma pos1 posid1 pos2 posid2 pos3 posid3 others ...""
```

(note that this is a different form than what the comments in the code document, on line 39, 40, 41 in  knbc.py says)

This misreading happens for 30 occurrences of '特殊', which appears to be used in the corpus to mark some kind of special non-word entity and is not annotated with _reading_ nor _lemma_.

Word number 14768 '５００', returns a double space between _reading_ and _lemma_, causing the lemma tag to appear empty and the pos1 tag to appear as the lemma.

Word 54546 and 54678 are smileys that have been loaded wrongly by the corpus reader and part of the smileys appear in the string that represents 

Words for which tags are returned with a wrong form are:

[1396, 7219, 8750, 10916, 14445, 14464, 14768, 18538, 18540, 20655, 23116, 23120, 23123, 23128, 26698, 32867, 32869, 32871, 32873, 32875, 32877, 32892, 32894, 44702, 46037, 46490, 46492, 46494, 46496, 46498, 46557, 54546, 54678]
"
4,https://github.com/nltk/nltk/issues/1252,1252,[],closed,2016-01-16 23:08:40+00:00,,0,"Tox fails with ""ERROR: Failure: ImportError (No module named 'six')""","When I try to run the tests with Tox (on Ubuntu) from within a local clone of the repo, it manages to install the dependencies but blows up when trying to import things from within NLTK.

I imagine I can work around this by figuring out how to manually run just the tests I care about, but it's inconvenient.

I'm not sure whether I'm doing something dumb or whether the Tox setup is broken; if the former, the CONTRIBUTING docs should probably mention what needs to be done besides just running Tox; if the latter, it should probably be fixed.

Here's the full output (had to pastebin it due to GitHub's post length limit):

http://pastebin.com/ENuCLnv6
"
5,https://github.com/nltk/nltk/issues/1253,1253,[],closed,2016-01-17 11:25:40+00:00,,30,how to download corpus panlex_lite package in nltk in python,"I am able to download all the packages except the panlex_lite how to download it?
"
6,https://github.com/nltk/nltk/issues/1254,1254,[],closed,2016-01-18 06:09:47+00:00,,4,Loading jars from custom path.,"Hello Team,
 I want to load the stanfor-parser.jar file from my custom defined path. I dont want to set ENV variable for jar locations. Is this possible ? If yes then how?

Thanks,
Rahul 
"
7,https://github.com/nltk/nltk/issues/1255,1255,"[{'id': 14019255, 'node_id': 'MDU6TGFiZWwxNDAxOTI1NQ==', 'url': 'https://api.github.com/repos/nltk/nltk/labels/pleaseverify', 'name': 'pleaseverify', 'color': 'd7e102', 'default': False, 'description': None}, {'id': 145489207, 'node_id': 'MDU6TGFiZWwxNDU0ODkyMDc=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/bug', 'name': 'bug', 'color': 'e11d21', 'default': True, 'description': None}, {'id': 719374994, 'node_id': 'MDU6TGFiZWw3MTkzNzQ5OTQ=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/GUI', 'name': 'GUI', 'color': 'f9b3d9', 'default': False, 'description': None}, {'id': 918210764, 'node_id': 'MDU6TGFiZWw5MTgyMTA3NjQ=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/inactive', 'name': 'inactive', 'color': 'cecece', 'default': False, 'description': ''}]",closed,2016-01-18 13:00:40+00:00,,3,Printing to postscript error,"I draw a syntax tree with tree.draw(), which is below:

![2016-01-18 8 56 33](https://cloud.githubusercontent.com/assets/5208653/12391905/0683e8a8-be26-11e5-85f7-fba3b98c1626.png)

But after i save it as a ps file using 'File --> Print to Postscript', I get below:

![2016-01-18 8 58 20](https://cloud.githubusercontent.com/assets/5208653/12391934/3f2fa23c-be26-11e5-9494-36cd0e99427d.png)

So what is wrong with it?? can somebody help me?
"
8,https://github.com/nltk/nltk/issues/1256,1256,[],closed,2016-01-18 13:27:37+00:00,,11,Reading wordnet error,"My environment is Python3.5.1 and nltk3.1. When I executed the second command below, it throws an AssertionError.

``` python
from nltk.corpus import wordnet as wn
wn.synsets('dog')
```

I find that there is a bug in class OpenOnDemandZipFile(data.py) about file reference count.
I modified the member function read() and it worked.

``` python
def read(self, name):
　　assert self.fp is None
　　self.fp = open(self.filename, 'rb')
　　self._fileRefCnt += 1 #my modification
　　value = zipfile.ZipFile.read(self, name)
　　self.close()
　　return value
```
"
9,https://github.com/nltk/nltk/issues/1258,1258,"[{'id': 14019255, 'node_id': 'MDU6TGFiZWwxNDAxOTI1NQ==', 'url': 'https://api.github.com/repos/nltk/nltk/labels/pleaseverify', 'name': 'pleaseverify', 'color': 'd7e102', 'default': False, 'description': None}, {'id': 29356672, 'node_id': 'MDU6TGFiZWwyOTM1NjY3Mg==', 'url': 'https://api.github.com/repos/nltk/nltk/labels/corpus', 'name': 'corpus', 'color': '0b02e1', 'default': False, 'description': None}, {'id': 145489207, 'node_id': 'MDU6TGFiZWwxNDU0ODkyMDc=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/bug', 'name': 'bug', 'color': 'e11d21', 'default': True, 'description': None}, {'id': 918210764, 'node_id': 'MDU6TGFiZWw5MTgyMTA3NjQ=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/inactive', 'name': 'inactive', 'color': 'cecece', 'default': False, 'description': ''}]",closed,2016-01-20 10:33:09+00:00,,1,Potential wordnet lemmatization issue,"I am not sure if its an issue with wordnet corpus or with nltk or my way of using it, but I've found one case where I am not getting expected result:
~/nltk_data/corpora/wordnet/noun.exc contain this line:
antae anta

where (according to wikipedia) anta is singular and antae plural.
yet this code:

from nltk.stem import WordNetLemmatizer
wnl = WordNetLemmatizer()
print(wnl.lemmatize('antae'))

prints antae, not anta.
same goes for antalkalies -> antalkali
but antefixa -> antefix works fine.

Is it a bug (and where?) or I am wrong expecting it to be lemmatized this way?
"
10,https://github.com/nltk/nltk/issues/1259,1259,[],closed,2016-01-20 17:22:30+00:00,,3,ImportError: No module named sentiment  for python 2.7 on Windows PC and Anaconda  installation,"I use python 2.7 on Windows PC and Anaconda python installation
Pls help run  example from  http://www.nltk.org/howto/sentiment.html 
can not import nltk.sentiment, error comes from `from nltk.sentiment import SentimentAnalyzer`

It gives the error:

```
Traceback (most recent call last):
  Debug Probe, prompt 1, line 1
ImportError: No module named sentiment
from nltk.corpus import subjectivity
Traceback (most recent call last):
  Debug Probe, prompt 2, line 1
ImportError: cannot import name subjectivity
```

but nltk import is ok 

`import nltk` and `NaiveBayesClassifier` import is ok seems to be everything 

```
from nltk.classify import NaiveBayesClassifier
```

but 

```
from nltk.sentiment fails to import 
```

gives 

```
from nltk.sentiment.vader import SentimentIntensityAnalyzer
Traceback (most recent call last):
  Debug Probe, prompt 6, line 1
ImportError: No module named sentiment.vader
```
"
11,https://github.com/nltk/nltk/issues/1260,1260,[],closed,2016-01-21 20:46:15+00:00,,3,SRL in SENNA,"Just a quick raincheck. Is there a reason why semantic role labeling (SRL) was left out in the [nltk.tag.senna.py](https://github.com/nltk/nltk/blob/develop/nltk/tag/senna.py)? Is someone working on adding it?  
"
